sucursal                   , operating_date, day_name , closing_time              , captured_time             , week_number, pdv_txn_id, order_id, order_type , order_subtype, table_number, party_size, server  , terminal, capture_terminal, action               , item                            , modifier                  , group_type, group                         , description                                                                                       , is_modifier, quantity, unit_price, unit_price_with_mods, cost_actual, cost_with_mods, cost_ideal, discount, subtotal_ticket, iva_ticket, ieps_ticket, total_ticket, subtotal_item, iva_item, ieps_item, total_item, subtotal_cortesia_cancel, iva_cortesia_cancel, ieps_cortesia_cancel, total_cortesia_cancel, subtotal_anulacion, iva_anulacion, ieps_anulacion, total_anulacion, clave_platillo
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:09.710000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , JUGO VERDE                      ,                           , Alimentos , JUGOS Y BEBIDAS FRIAS         , JUGO VERDE                                                                                        , False      ,      1.0,    55.0   ,                 55.0,     29.0   ,        29.0   ,    26.0   ,      0.0,          331.42,      44.14,        4.44,        380.0,       47.4138,   7.5862,    0.0   ,    55.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , JBF008
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:18.727000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CROISSANT DE JAMÓN Y QUESO      ,                           , Alimentos , DESAYUNOS                     , "CROISSANT DE JAMÓN Y QUESO,** LAURA **"                                                          , False      ,      1.0,   155.0   ,                155.0,     66.3883,        66.3883,    34.8235,      0.0,          331.42,      44.14,        4.44,        380.0,      133.6207,  21.3793,    0.0   ,   155.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , DE009
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:40.727000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     ,                           , Alimentos , CAFE Y BEBIDAS CALIENTES      , "CAFE REFILL, REGULAR"                                                                            , False      ,      1.0,    55.0   ,                 55.0,      1.569 ,         1.569 ,     2.368 ,      0.0,          331.42,      44.14,        4.44,        380.0,       47.4138,   7.5862,    0.0   ,    55.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , CBC001
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:41.490000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     , REGULAR                   , Alimentos , MOD BEBIDAS                   , REGULAR                                                                                           , True       ,      1.0,     0.0   ,                  0.0,      0.0   ,         0.0   ,     0.0   ,      0.0,          331.42,      44.14,        4.44,        380.0,        0.0   ,   0.0   ,    0.0   ,     0.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , MB002
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:42.210000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     ,                           , Alimentos , CAFE Y BEBIDAS CALIENTES      , "CAFE REFILL, REGULAR"                                                                            , False      ,      1.0,    55.0   ,                 55.0,      1.569 ,         1.569 ,     2.368 ,      0.0,          331.42,      44.14,        4.44,        380.0,       47.4138,   7.5862,    0.0   ,    55.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , CBC001
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:05:43.303000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     , REGULAR                   , Alimentos , MOD BEBIDAS                   , REGULAR                                                                                           , True       ,      1.0,     0.0   ,                  0.0,      0.0   ,         0.0   ,     0.0   ,      0.0,          331.42,      44.14,        4.44,        380.0,        0.0   ,   0.0   ,    0.0   ,     0.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , MB002
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:06:37.457000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CHIPS LOCAL SNACKS              ,                           , Alimentos , PANEM MARKETPLACE             , "250gr, CHIPS LOCAL SNACKS, MALANGA TOREADA"                                                      , False      ,      1.0,    60.0   ,                 60.0,      0.0   ,         0.0   ,     0.0   ,      0.0,          331.42,      44.14,        4.44,        380.0,       55.5556,   0.0   ,    4.4444,    60.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , PM015
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:09:04.327000, 2026-02-05 08:06:38.583000,           6,     179310,        1, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CHIPS LOCAL SNACKS              , MALANGA TOREADA           , Alimentos , MOD MARKETPLACE               , MALANGA TOREADA                                                                                   , True       ,      1.0,     0.0   ,                  0.0,      0.0   ,         0.0   ,     0.0   ,      0.0,          331.42,      44.14,        4.44,        380.0,        0.0   ,   0.0   ,    0.0   ,     0.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , MM002
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:11:51.033000, 2026-02-05 08:11:16.270000,           6,     179311,        2, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     ,                           , Alimentos , CAFE Y BEBIDAS CALIENTES      , "CAFE REFILL, REGULAR"                                                                            , False      ,      1.0,    55.0   ,                 55.0,      1.569 ,         1.569 ,     2.368 ,      0.0,           94.83,      15.17,        0.0 ,        110.0,       47.4138,   7.5862,    0.0   ,    55.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , CBC001
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:11:51.033000, 2026-02-05 08:11:16.923000,           6,     179311,        2, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE REFILL                     , REGULAR                   , Alimentos , MOD BEBIDAS                   , REGULAR                                                                                           , True       ,      1.0,     0.0   ,                  0.0,      0.0   ,         0.0   ,     0.0   ,      0.0,           94.83,      15.17,        0.0 ,        110.0,        0.0   ,   0.0   ,    0.0   ,     0.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , MB002
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:11:51.033000, 2026-02-05 08:11:17.690000,           6,     179311,        2, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAFE OLLA REFILL                ,                           , Alimentos , CAFE Y BEBIDAS CALIENTES      , CAFE OLLA REFILL                                                                                  , False      ,      1.0,    55.0   ,                 55.0,      2.119 ,         2.119 ,     3.4299,      0.0,           94.83,      15.17,        0.0 ,        110.0,       47.4138,   7.5862,    0.0   ,    55.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , CBC020
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:24:46.637000, 2026-02-05 08:23:40.840000,           6,     179312,        3, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAPPUCCINO 16OZ                 ,                           , Alimentos , CAFE Y BEBIDAS CALIENTES      , "CAPPUCCINO 16OZ, LECHE DESLACTOSADA LIGHT,** PATRICIA **"                                        , False      ,      1.0,    90.0   ,                 90.0,      1.569 ,         1.569 ,    37.4128,      0.0,          133.62,      21.38,        0.0 ,        155.0,       77.5862,  12.4138,    0.0   ,    90.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , CBC003
Panem - Hospital Zambrano N, 2026-02-05    , jueves   , 2026-02-05 08:24:46.637000, 2026-02-05 08:23:43.667000,           6,     179312,        3, Para llevar, '-           ,             ,          1, Zambrano, SERVER1 , SERVER1         , Venta                , CAPPUCCINO 16OZ                 , LECHE DESLACTOSADA LIGHT  , Alimentos , MOD BEBIDAS                   , LECHE DESLACTOSADA LIGHT                                                                          , True       ,      1.0,     0.0   ,                  0.0,      0.0   ,         0.0   ,     0.0   ,      0.0,          133.62,      21.38,        0.0 ,        155.0,        0.0   ,   0.0   ,    0.0   ,     0.0   ,                         ,                    ,                     ,                      ,                   ,              ,               ,                , MB006
